"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M3","TOT","IDX2015","M","2012-01",79.09692,
"AUS","M3","TOT","IDX2015","M","2012-02",79.58722,
"AUS","M3","TOT","IDX2015","M","2012-03",80.08031,
"AUS","M3","TOT","IDX2015","M","2012-04",80.49216,
"AUS","M3","TOT","IDX2015","M","2012-05",81.13935,
"AUS","M3","TOT","IDX2015","M","2012-06",81.8846,
"AUS","M3","TOT","IDX2015","M","2012-07",82.30485,
"AUS","M3","TOT","IDX2015","M","2012-08",82.79514,
"AUS","M3","TOT","IDX2015","M","2012-09",83.24901,
"AUS","M3","TOT","IDX2015","M","2012-10",83.60202,
"AUS","M3","TOT","IDX2015","M","2012-11",83.92702,
"AUS","M3","TOT","IDX2015","M","2012-12",84.28843,
"AUS","M3","TOT","IDX2015","M","2013-01",84.81795,
"AUS","M3","TOT","IDX2015","M","2013-02",85.19057,
"AUS","M3","TOT","IDX2015","M","2013-03",85.53798,
"AUS","M3","TOT","IDX2015","M","2013-04",86.2328,
"AUS","M3","TOT","IDX2015","M","2013-05",87.05649,
"AUS","M3","TOT","IDX2015","M","2013-06",87.47114,
"AUS","M3","TOT","IDX2015","M","2013-07",87.61122,
"AUS","M3","TOT","IDX2015","M","2013-08",87.77092,
"AUS","M3","TOT","IDX2015","M","2013-09",88.12112,
"AUS","M3","TOT","IDX2015","M","2013-10",88.76271,
"AUS","M3","TOT","IDX2015","M","2013-11",89.36787,
"AUS","M3","TOT","IDX2015","M","2013-12",90.03748,
"AUS","M3","TOT","IDX2015","M","2014-01",90.65945,
"AUS","M3","TOT","IDX2015","M","2014-02",91.16655,
"AUS","M3","TOT","IDX2015","M","2014-03",91.61201,
"AUS","M3","TOT","IDX2015","M","2014-04",92.06869,
"AUS","M3","TOT","IDX2015","M","2014-05",92.71587,
"AUS","M3","TOT","IDX2015","M","2014-06",93.29862,
"AUS","M3","TOT","IDX2015","M","2014-07",93.84215,
"AUS","M3","TOT","IDX2015","M","2014-08",94.53696,
"AUS","M3","TOT","IDX2015","M","2014-09",95.25139,
"AUS","M3","TOT","IDX2015","M","2014-10",95.77531,
"AUS","M3","TOT","IDX2015","M","2014-11",96.07789,
"AUS","M3","TOT","IDX2015","M","2014-12",96.6018,
"AUS","M3","TOT","IDX2015","M","2015-01",97.11731,
"AUS","M3","TOT","IDX2015","M","2015-02",97.81213,
"AUS","M3","TOT","IDX2015","M","2015-03",98.52375,
"AUS","M3","TOT","IDX2015","M","2015-04",98.88517,
"AUS","M3","TOT","IDX2015","M","2015-05",99.22417,
"AUS","M3","TOT","IDX2015","M","2015-06",99.56597,
"AUS","M3","TOT","IDX2015","M","2015-07",100.216,
"AUS","M3","TOT","IDX2015","M","2015-08",100.7231,
"AUS","M3","TOT","IDX2015","M","2015-09",101.1853,
"AUS","M3","TOT","IDX2015","M","2015-10",101.7233,
"AUS","M3","TOT","IDX2015","M","2015-11",102.2584,
"AUS","M3","TOT","IDX2015","M","2015-12",102.7655,
"AUS","M3","TOT","IDX2015","M","2016-01",103.1689,
"AUS","M3","TOT","IDX2015","M","2016-02",103.6284,
"AUS","M3","TOT","IDX2015","M","2016-03",104.0991,
"AUS","M3","TOT","IDX2015","M","2016-04",104.5978,
"AUS","M3","TOT","IDX2015","M","2016-05",104.9816,
"AUS","M3","TOT","IDX2015","M","2016-06",105.3346,
"AUS","M3","TOT","IDX2015","M","2016-07",106.0322,
"AUS","M3","TOT","IDX2015","M","2016-08",106.7719,
"AUS","M3","TOT","IDX2015","M","2016-09",107.1361,
"AUS","M3","TOT","IDX2015","M","2016-10",107.6292,
"AUS","M3","TOT","IDX2015","M","2016-11",108.4557,
"AUS","M3","TOT","IDX2015","M","2016-12",109.4615,
"AUS","M3","TOT","IDX2015","M","2017-01",110.344,
"AUS","M3","TOT","IDX2015","M","2017-02",110.966,
"AUS","M3","TOT","IDX2015","M","2017-03",111.3918,
"AUS","M3","TOT","IDX2015","M","2017-04",111.9774,
"AUS","M3","TOT","IDX2015","M","2017-05",112.6722,
"AUS","M3","TOT","IDX2015","M","2017-06",113.2998,
"AUS","M3","TOT","IDX2015","M","2017-07",113.7817,
"AUS","M3","TOT","IDX2015","M","2017-08",114.0506,
"AUS","M3","TOT","IDX2015","M","2017-09",114.4121,
"AUS","M3","TOT","IDX2015","M","2017-10",114.8575,
"AUS","M3","TOT","IDX2015","M","2017-11",115.2301,
"AUS","M3","TOT","IDX2015","M","2017-12",115.2554,
"AUS","M3","TOT","IDX2015","M","2018-01",115.3366,
"AUS","M3","TOT","IDX2015","M","2018-02",115.5495,
"AUS","M3","TOT","IDX2015","M","2018-03",115.5131,
"AUS","M3","TOT","IDX2015","M","2018-04",115.4207,
"AUS","M3","TOT","IDX2015","M","2018-05",115.5047,
"AUS","M3","TOT","IDX2015","M","2018-06",115.6476,
"AUS","M3","TOT","IDX2015","M","2018-07",115.8661,
"AUS","M3","TOT","IDX2015","M","2018-08",116.5301,
"AUS","M3","TOT","IDX2015","M","2018-09",117.0204,
"AUS","M3","TOT","IDX2015","M","2018-10",117.2418,
"AUS","M3","TOT","IDX2015","M","2018-11",117.4939,
"AUS","M3","TOT","IDX2015","M","2018-12",117.8245,
"AUS","M3","TOT","IDX2015","M","2019-01",118.3876,
"AUS","M3","TOT","IDX2015","M","2019-02",119.0208,
"AUS","M3","TOT","IDX2015","M","2019-03",119.8081,
"AUS","M3","TOT","IDX2015","M","2019-04",120.2451,
"AUS","M3","TOT","IDX2015","M","2019-05",120.2423,
"AUS","M3","TOT","IDX2015","M","2019-06",120.2031,
"AUS","M3","TOT","IDX2015","M","2019-07",119.5083,
"AUS","M3","TOT","IDX2015","M","2019-08",119.0292,
"AUS","M3","TOT","IDX2015","M","2019-09",119.4046,
"AUS","M3","TOT","IDX2015","M","2019-10",119.8893,
"AUS","M3","TOT","IDX2015","M","2019-11",120.4301,
"AUS","M3","TOT","IDX2015","M","2019-12",120.8307,
"AUS","M3","TOT","IDX2015","M","2020-01",121.2397,
"AUS","M3","TOT","IDX2015","M","2020-02",121.8085,
"AUS","M3","TOT","IDX2015","M","2020-03",123.8481,
"AUS","M3","TOT","IDX2015","M","2020-04",127.4174,
"AUS","M3","TOT","IDX2015","M","2020-05",129.4458,
"AUS","M3","TOT","IDX2015","M","2020-06",129.9838,
"AUS","M3","TOT","IDX2015","M","2020-07",131.0904,
"AUS","M3","TOT","IDX2015","M","2020-08",132.5809,
"AUS","M3","TOT","IDX2015","M","2020-09",133.7408,
"AUS","M3","TOT","IDX2015","M","2020-10",134.5029,
"AUS","M3","TOT","IDX2015","M","2020-11",135.2761,
"AUS","M3","TOT","IDX2015","M","2020-12",136.0046,
"AUS","M3","TOT","IDX2015","M","2021-01",136.663,
"AUS","M3","TOT","IDX2015","M","2021-02",137.3522,
"AUS","M3","TOT","IDX2015","M","2021-03",137.7836,
"AUS","M3","TOT","IDX2015","M","2021-04",138.117,
"AUS","M3","TOT","IDX2015","M","2021-05",138.4897,
"AUS","M3","TOT","IDX2015","M","2021-06",139.5179,
"AUS","M3","TOT","IDX2015","M","2021-07",141.2605,
"AUS","M3","TOT","IDX2015","M","2021-08",142.4428,
"AUS","M3","TOT","IDX2015","M","2021-09",143.8353,
"AUS","M3","TOT","IDX2015","M","2021-10",145.3174,
"AUS","M3","TOT","IDX2015","M","2021-11",146.2699,
"AUS","M3","TOT","IDX2015","M","2021-12",147.8837,
"AUS","M3","TOT","IDX2015","M","2022-01",148.9287,
"AUS","M3","TOT","IDX2015","M","2022-02",149.2033,
"AUS","M3","TOT","IDX2015","M","2022-03",150.0914,
"AUS","M3","TOT","IDX2015","M","2022-04",151.1448,
"AUS","M3","TOT","IDX2015","M","2022-05",152.2515,
"AUS","M3","TOT","IDX2015","M","2022-06",153.5543,
"AUS","M3","TOT","IDX2015","M","2022-07",154.6049,
"AUS","M3","TOT","IDX2015","M","2022-08",155.2241,
"AUS","M3","TOT","IDX2015","M","2022-09",155.4342,
"AUS","M3","TOT","IDX2015","M","2022-10",155.9469,
"AUS","M3","TOT","IDX2015","M","2022-11",156.9583,
"AUS","M3","TOT","IDX2015","M","2022-12",157.9473,
"AUS","M3","TOT","IDX2015","M","2023-01",159.0007,
"AUS","M3","TOT","IDX2015","M","2023-02",159.6591,
"AUS","M3","TOT","IDX2015","M","2023-03",160.2363,
"AUS","M3","TOT","IDX2015","M","2023-04",160.9563,
"CAN","M3","TOT","IDX2015","M","2012-01",78.76433,
"CAN","M3","TOT","IDX2015","M","2012-02",78.92345,
"CAN","M3","TOT","IDX2015","M","2012-03",79.48527,
"CAN","M3","TOT","IDX2015","M","2012-04",79.92705,
"CAN","M3","TOT","IDX2015","M","2012-05",80.36031,
"CAN","M3","TOT","IDX2015","M","2012-06",80.71246,
"CAN","M3","TOT","IDX2015","M","2012-07",81.13894,
"CAN","M3","TOT","IDX2015","M","2012-08",81.26053,
"CAN","M3","TOT","IDX2015","M","2012-09",81.27236,
"CAN","M3","TOT","IDX2015","M","2012-10",81.79619,
"CAN","M3","TOT","IDX2015","M","2012-11",82.05895,
"CAN","M3","TOT","IDX2015","M","2012-12",82.42165,
"CAN","M3","TOT","IDX2015","M","2013-01",82.79349,
"CAN","M3","TOT","IDX2015","M","2013-02",83.55201,
"CAN","M3","TOT","IDX2015","M","2013-03",83.89873,
