Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-01-31;65.48;69.24;62.56;63.83;62333280
2021-02-28;64.56;69.67;64.14;67.73;43594700
2021-03-31;68.5;72.84;68.22;70.84;67550300
2021-04-30;71.14;72.88;67.08;67.08;56512906
2021-05-31;67.57;71.05;66.27;66.66;48705411
2021-06-30;66.99;69.25;63.83;66.44;49878076
2021-07-31;66.83;69;64.11;66.22;52160539
2021-08-31;66.9;69.52;64.14;65.52;44076339
2021-09-30;65.96;66.48;60.14;65.85;60959514
2021-10-31;64.53;65.4;61.81;62.28;52114687
2021-11-30;62.6;63.65;57.06;57.88;66824419
2021-12-31;58.27;61.93;58.01;61.78;53064692
2022-01-31;61.9;69.02;61.9;67.52;77607570
2022-02-28;67.89;69.15;56.68;59.25;89079657
2022-03-31;57.38;58.99;47.23;51.76;153039699
2022-04-30;52.08;54.18;48.99;50.41;82835829
2022-05-31;47.5;51.89;46.465;51.29;85537467
2022-06-30;51.72;53.08;39.705;41.525;84225509
2022-07-31;40.94;45.965;39.325;43.415;82000920
2022-08-31;43.335;45.03;40.205;42.07;57183060
2022-09-30;41.86;45.49;37.9;39.6;69220517
2022-10-31;39.17;47.1;38.9;45.435;58418315
2022-11-30;45.7;51.8;44.19;48.515;58031968
2022-12-31;49.035;49.145;45.01;46.39;45359473
2023-01-31;46.68;53.38;46.575;52.4;57894475
2023-02-28;52.49;54.04;47.53;48.475;61309823
2023-03-31;48.91;49.325;44.045;48.36;70060287
2023-04-30;48.36;50.92;44.82;46.85;51217763
2023-05-31;47;48.5;44.415;44.415;49669652
2023-06-30;44.72;47.48;41.93;44.47;62342045
2023-07-31;44.75;49.59;42.87;48.77;53274458
2023-08-31;48.7;49.04;44.94;46.79;38682264
2023-09-30;47;47.45;41.58;42.95;50369136
2023-10-31;43.19;43.84;40.25;43.54;48306766
2023-11-30;43.47;45.37;42.07;42.69;51132387
2023-12-31;43;49.85;42.61;48.78;47779221
2024-01-31;49;49.48;42.59;44.46;46846848
2024-02-29;44.15;48.7;43.89;47.08;45114580
2024-03-31;47.38;53.53;46.49;52.93;50161056
2024-04-30;53.58;54.93;50.16;50.44;35950713
