Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-01-31;57.68;61.92;54.06;57.5;11033609
2021-02-28;58.24;67.26;57.26;66.38;10346954
2021-03-31;67.12;94.86;67.1;90.42;30689152
2021-04-30;91.04;99.8;85.8;87.58;12580425
2021-05-31;87.54;93.12;80.36;92.5;10574298
2021-06-30;94;102;89.3;90.36;11001532
2021-07-31;91.02;95.32;85.92;91.28;9230121
2021-08-31;92.2;93.18;80.88;85.76;8202399
2021-09-30;86.4;88.78;78.46;85.94;11001358
2021-10-31;84;94.4;81.08;89.82;10931710
2021-11-30;90.5;91.64;73.3;74.18;13708541
2021-12-31;75.32;88.94;73.64;83.44;13928672
2022-01-31;83.88;92.74;79.94;82.4;12904772
2022-02-28;82.8;97.66;77.82;90.88;22486912
2022-03-31;90;91.56;67.02;87.9;30770862
2022-04-30;88.22;89.78;73.94;79.54;11114568
2022-05-31;79;80.94;68.92;76.14;14362924
2022-06-30;76.5;79.94;61.36;63.12;15139437
2022-07-31;62.36;71.38;59.06;70.4;12259316
2022-08-31;70.4;74.98;64.08;70.48;14671201
2022-09-30;69.5;73.5;57.44;58.16;31280846
2022-10-31;58.12;61.52;55.36;56.6;15326722
2022-11-30;57.12;61.18;54.92;58.34;16548258
2022-12-31;58.82;59.42;49.79;51.24;15138531
2023-01-31;51.54;57.22;51.5;54.76;15075022
2023-02-28;55.1;58.5;52.94;53.76;14458106
2023-03-31;54.1;60.18;49.82;52.92;24959066
2023-04-30;53.02;53.88;48.38;50.48;16036573
2023-05-31;50.66;55.9;49.05;51.9;18096788
2023-06-30;52.26;58.86;51.86;55.16;18910836
2023-07-31;53.24;54.94;51.48;53.78;13198968
2023-08-31;53.94;54.04;48.19;49.57;14723237
2023-09-30;49.28;50.32;45.55;46.65;18212216
2023-10-31;46.9;47.91;41.65;42.15;17338779
2023-11-30;42.55;47.19;42.14;44.86;18406593
2023-12-31;45.1;49.45;44.56;46.32;16098574
2024-01-31;46.5;47.27;43.27;46.5;19426097
2024-02-29;46.21;50.14;44.87;49.38;21699354
2024-03-31;49.85;50.74;46.14;49.12;18880013
2024-04-30;49.01;52.32;48.28;48.97;8692246
