Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-01-31;93.2;93.44;78.72;80.78;6595249
2021-02-28;81.38;90.14;81.12;87.98;5849160
2021-03-31;89.68;90.8;80.32;83.54;6360198
2021-04-30;83.96;94.36;83.38;87.72;5164752
2021-05-31;87.98;95.24;85.96;93.82;6758548
2021-06-30;94.18;101.75;91.3;100.55;6039992
2021-07-31;101;106.35;98.94;103.5;4704825
2021-08-31;104.15;109.7;101.8;102.8;4444355
2021-09-30;103.35;107.8;95.2;96.42;7296030
2021-10-31;95.12;108.8;94.7;107.3;6731460
2021-11-30;107.75;115.4;103.8;106.75;6238800
2021-12-31;107.7;110.15;100.75;107.5;5483698
2022-01-31;107.65;109.25;90.06;94.2;8835646
2022-02-28;94.66;96.16;78.92;81.98;9078564
2022-03-31;81.3;81.44;62.38;77.44;14007465
2022-04-30;77.48;79.64;66.88;70.68;8280480
2022-05-31;69.76;73.52;57.94;69.22;11772135
2022-06-30;69.68;72.64;60.94;62.84;10644325
2022-07-31;62.28;71.6;59.24;65.62;8452363
2022-08-31;65.42;70.88;60.44;61.02;9113379
2022-09-30;60.4;63.78;46.46;47.97;10857582
2022-10-31;47.34;51.36;42.97;44.81;12907688
2022-11-30;45.75;54;41.31;48.7;15833447
2022-12-31;50.32;56.9;48.8;56.7;13722497
2023-01-31;56.94;65.16;56.12;62.36;9525825
2023-02-28;62.42;67.34;58.7;60.4;7386872
2023-03-31;58.98;61.24;49.81;56.86;11241558
2023-04-30;56.6;57.48;51.48;52.96;7568046
2023-05-31;53.12;53.76;43.81;44.52;9736414
2023-06-30;44.94;55.18;43.9;55.12;11767776
2023-07-31;55.12;61.96;51.3;61.44;8159894
2023-08-31;61.46;65.98;58.2;62;7652972
2023-09-30;61.96;63.2;54.98;58.8;6524641
2023-10-31;58.8;60.24;49.43;53.3;10560063
2023-11-30;53.6;59.5;52.56;59.18;8071087
2023-12-31;59.18;61.04;49.9;50.52;9720856
2024-01-31;50.86;51.48;36.87;37.6;18801302
2024-02-29;36.01;44.06;35.6;42.47;18589749
2024-03-31;42.3;43.69;38.72;42.02;12891478
2024-04-30;41.2;43.49;39.99;42.56;7129150
